FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server.rb:35
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server.rb:36
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server.rb:37
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server.rb:38
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server.rb:39
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:23
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:24
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:25
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:26
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:27
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:28
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:29
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:30
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:31
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:32
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:33
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:34
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:35
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:36
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:37
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:38
FC082: Deprecated node.set or node.set_unless used to set node attributes: ./recipes/server_proxy.rb:39
